title,desc
A Short Film About the Indio Nacional (2005),What follows is a black-and-white silent film set in the 1890s during the brewing Filipino revolution against Spanish colonialism. A series of tragic and comic sequences tells the Three Ages of an Indio (“common man”) as he progresses from boy bell ringer in a village church to teenage revolutionary to adult theater actor rehearsing a popular Spanish play.
Riddles of My Homecoming (2013),"Alfad, a Lumad whose soul returns to his homeland to settle unfinished businesses and to finally rest. It is based on the Lumad’s belief that when a person dies his soul goes back to his homeland."
Iskalawags (2013),"One day, in the small peaceful town of Barrio Malinawon, seven young punks, who call themselves the Iskalawags because of their shared love for Filipino action movies (particularly those starred by their idol Jeric Raval), decide to set out on a mini quest to find the tree that according to Palot-the gang's de facto leader-bears the lone papaya fruit as large as the belly of Intoy's father."
"Norte, The End of History (2013)","A man is wrongly jailed for murder while the real killer roams free. The murderer is an intellectual frustrated with his country’s never-ending cycle of betrayal and apathy. The convict is a simple man who finds life in prison more tolerable, when something mysterious and strange starts happening to him."
The Bet Collector (2006),"Middle-aged Manila storeowner Amelita supplements her tiny income by collecting bets for the popular numbers game of jueteng. While looking out for police crackdowns, the masterfully persuasive Amelita cajoles all comers into placing wagers."
Kinatay (2009),"A young man tries to make some money so he can marry his girlfriend. He takes a job for $2,000 and then soon realizes that this job involves killing a woman."
Child of the Sun (2009),"An exiled poet returns to his native homeland of Pangasinan province after many years of absence. Through a mystical soul journey, he reclaims his primal connection to the water (danum), to the land (dalin), and to the people (katooan) where in the end he finds a home to anchor his wandering soul."
ARI: My Life with a King (2015),A Kapampangan youth who doesn't know how to speak in Kapampangan--and doesn't want to--until he runs into a compelling but weird character known as the king of Kapampangan poets.
Ma' Rosa (2016),"Ma’ Rosa has four children. She owns a small convenience store in a poor section of Manila where everybody knows her. To make ends meet, Rosa and her husband, Nestor, resell small amounts of narcotics on the side. One day, they get arrested. Rosa’s children are ready to do anything to buy their parents’ freedom from the corrupt police."
Jungle Love (2012),"Jungle Love follows a handful of people who have disappeared into the jungle: a woman who has kidnapped her sister's child; an urbane couple and their indigenous guide; a bored and horny platoon; and a nameless tribe. Disappearance has another meaning in Sanchez’s native Mindanao, where a decades-old conflict between the government and secessionists fighting for an Islamic state has made the region infamous for its kidnappings. Sanchez took inspiration from an incident in which a friend living abroad visited an exhibition, and found a photo of him labeled as one of the disappeared. Jungle Love is permeated with this sense of the uncanny, as narratives and identities fracture and fuse into one another in the reckless, lonely places people go to escape themselves."
Life on the Tracks (2003),"Riles is a documentary about the life of a riles resident, Eddie, in a squatter area along the railroad tracks within the downtrodden section of Balic-balik, Manila."
A Lullaby to the Sorrowful Mystery (2016),"Andres Bonifacio y de Castro is considered to be one of the most influential proponents in the struggle against Spanish colonial rule in the Philippines during the late nineteenth century. Bonifacio’s widow is searching for her husband’s missing dead body; as she and her followers stumble deeper into the jungle, they become entangled in the dense thicket of their own guilt and responsibility. The Spanish governor tries to play off the various rebel factions and their utopian visions against each other. At the same time, a badly wounded companion of Bonifacio reflects upon the victims a revolution inevitably creates. Mythology, facts and a vibrant sense of history merge."
"Florentina Hubaldo, CTE (2012)","Florentina Hubaldo keeps repeating her story, orally, akin to a mantra, a meditation and a prayer; her way of remembering; her means of maintaining hope for survival and redemption; fighting with what’s left of her memory. She lives and exist in a place and a condition where history, her story, is being systematically being obliterated. Two gold hunters endlessly dig the ground with their shovels and hoes for the proverbial treasure that will emancipate them. A father sadly waits for the death of her fragile daughter."
Thy Womb (2012),A Bajau midwife copes with the irony of her own infertility amid the deprivations of her gypsy community in Tawi-Tawi. A saga of island life stuck between the devil of passion and the deep blue sea of tradition.
Harana: The Search for the Lost Art of Serenade (2012),"Upon his father's death, Florante, a classically trained guitarist returns to the Philippines after 12 years of absence. During his stay he rediscovers the music of harana - a long-forgotten tradition of Filipino serenading when men sang under the window at night to fearlessly declare their love for a woman. Intent on unearthing these unheralded songs, Florante travels to the remote provinces where he discovers three of the last surviving practitioners - a farmer, a fisherman and a tricycle driver. Astounded by their golden voices, Florante asks them to travel with him to perform and record these unknown songs. During their travels, the haranistas meet Brian, a shy young man who for years has been secretly in love with a schoolmate. The haranistas, who have not serenaded in the last thirty years, offered their services to serenade Brian's object of affection, resulting in one of the most tender moments of genuine harana captured on film."
Sonata (2013),"A woman whose whole life is her art, but when she loses it she goes into a self-exile, only to be, hopefully, reinvigorated by a young boy daring to bring it all back."
Now Showing (2008),"Rita is named after a famous American movie star whom her late, former actress grandmother once adored. She lives in one of Manila’s oldest districts with her busy mother and entrepreneurial aunt. Years later, she is still the same girl enamoured with television, now also tending to her aunt’s stall selling pirated DVD movies. Elsewhere, there survives footages of a movie done before the war."
Shadow Behind the Moon (2015),"The armed conflict between the Philippine military and the communist resistance at the beginning of the 1990s forms the backdrop to this study of three individuals who, for different reasons, are trying to resolve an untenable situation."
Grandmother (2009),"Lola Sepa's grandson has been killed by a cell phone snatcher. Despite being devastated by the sudden violence, she must bear the burden of making the funeral arrangements. She and her family are poor, and there is not enough money for the coffin nor the legal pursuit against the suspected murderer. But the elderly woman is ready to even seek a bank loan to assure both a proper burial and justice for her beloved grandson. Lola Puring is committed to getting her grandson Mateo out of jail, although he has been accused of senselessly murdering Lola Sepa's grandson. But the poor aged woman doesn't have the bail money. Each time she visits her grandson in prison to bring him proper meals, it breaks her heart to see him wasting away behind bars with countless others. At the first court hearing, the two grandmothers must face one another. Both frail and poor, each is determined to do everything necessary for her grandson. The future of the case is dependent on grandmotherly love..."
Manila Skies (2009),"Inspired by a true news account, this is the astounding story of a lone deranged hijacker who has struggled to survive in the chaos of modern Philippine society."
Death in the Land of Encantos (2007),"A Filipino poet hearkens back to his village after spending years in Europe. Horrified to discover that the community has been buried under landslides, he begins wandering through the countryside, reconnecting with friends, lovers and family members whose lives teeter on the brink of destruction."
#WalangForever (2015),"Mia, a celebrated writer of romantic-comedy films, is at a turning point in her life which makes it difficult for her to believe that love could last. Everything comes to a head when Ethan returns, only for her to find out that he has become a cynic of lasting love because she broke his heart."
Kordero sa Dios (2012),This is the life of Divino Maligalig as he walks through the valley of the shadow of death
Heremias: Book One - The Legend of the Lizard Princess (2006),A wandering peddler separates from his fellow salesman and becomes involved with criminals in the jungle.
The Life of Rosa (2001),"Crime does not pay, so the adage goes. But feisty and outspoken Rosa (Rosanna Roces)--however sharp-witted--does not know any better. Doggedly out for bigger money, she is quick to rebuff even her lover Dado's (Diether Ocampo) pitch for a new life. What will they risk to succeed? What will they give to taste the sweet pleasure of living peacefully and not running away from law and the syndicate anymore? Will their love for each other endure in the end?"
The Youngest (2005),"A documentary that explores injustice, neglect and perpetual helplessness."
Violator (2014),Manila is besieged by the worst typhoon to hit the country. Talk of the world coming to an end hangs in the air. And five men find themselves stranded inside a police station with a prisoner who may o may not be the devil. It's going to be a long night.
War Is a Tender Thing (2013),"Through her own family's memories of struggle, Adjani unravels the story of war-torn Southern Philippines as an endless attempt at survival and adaptation to state policies that disregard the most basic concept of home."
Independencia (2009),"Early 20th century Philippines. The sounds of war signal the arrival of the Americans. A mother and son flee to the mountains, hoping for a quiet life. One day, the son discovers a wounded woman in the middle of the forest, and decides to bring her home."
Goodbye My Shooting Star (2006),"K. loves Ana. But Ana’s now gone. Once she was there. But not anymore. A chance encounter from their past leads to this new meeting between K. and Ana. A mix of music video, poetry reading, and offbeat romance – this is Khavn’s wildside romance."
Pascalina (2012),"After a series of unpleasant events in her life, Pascalina receives news that her Aunt Taba is dying but cannot do so unless she passes on a curse. Pascalina visits her dying aunt thinking that the news is only a big joke. But Pascalina begins to experience changes in her life that will push her to the edge of madness and monstrosity."
Bridal Shower (2004),"Three advertising executives are doomed to perpetually look for the right man. Tates, Katie and Sonia are all are stuck in a rut with love, sex and marriage. Tates will do whatever it takes to just to have the man she wants even if he is tangled in a messy annulment case and even if it takes her to shed a lot of money to have him. Katie found her love story with a macho dancer but is scared to let her friends know because of his unconventional job. So she tries to give him a more decent look for her friends to see. She also finds bodily insecurities because of her chubby physique. Sonia is the two-timing chick that finds her self pregnant while being with two men. She is in-love with a painter but finds more security with a rich man. Despite her strong feelings for the former, she chooses to be with the latter in order to provide better for her and her child."
Otso (2013),"The opening voiceover informs us that Lex (Vince Tañada) is returning to the Philippines from Los Angeles, where things didn’t go exactly as planned. In Manila, he is working for film director Jim (Jun Urbano), writing a script for an independent film. He takes inspiration from the people who live in his building. He is enamored with his neighbor Sabina (Monique Azerreda), who he sees climb into a vehicle owned by a congressman running for reelection. Starting from this one fact, he begins imagining an entire life of intrigue of betrayal that has him returning to his childhood."
Esoterica: Manila (2014),"Drawing from his personal adventures, film director, Elwood Perez veers away from standard-issue plot conventions in this paradoxically moral tale of a young man en route to becoming a creative artist."
Boylets (2009),"School friends who pass the time stealing copper electric wires and steel, betting cash in online computer games and doing sexual services to gay patrons. Krys’ best friend Joef is the leader of the pack and he is turning eighteen and is leaving the next day. Krys tries to control Joef’s last day and birthday celebration as he attempts to stop him from his plans. But will Krys be able to stop the guy he likes from leaving?"
The Woven Stories of the Other (2006),"Gigi from Arakan Valley is a woman rebel who teaches young comrades the facets of their struggle as they remain to be in waiting after they were ambushed. In a nearby village, Junjun and his fellow soldiers take a rest. He attempts to chance upon a girl he longs for, but instead encounters a balyan/tagbawian (shaman) in a very disturbing situation. Somewhere, two kids, Abyan and Busaw, trek the forest back to their mother. Huling Balyan ng Buhi : O Ang Sinalirap nga Asoy Nila weaves the tales of rebels in waiting, playful soldiers at rest and a troubled balyan (village healer) in a very ambiguous predicament. A quandary that will usher them all to one encounter that can bring to light the questions of transcendence."
Manoro (2006),"The mountain-dwelling Aetas have been forced to settle in the lowlands by the sudden eruption of Mt. Pinatubo. With their settlements being closer to the government-funded schools of the Kapampangan townships, the Aeta children now have the opportunity to study. Jonalyn, one of the elementary school graduates of the ceremony depicted in the confused introduction and an Aeta, seeks to teach her elders to read and write a day before the National Elections. With Jonalyn's effort, the Aetas, for the very first time, have participated in the democratic process that has existed in the Philippines since the early part of the 20th century."
Flesh (2002),"Maryo J. Delos Reyes' gritty noir, about the triangle that develops between a man, his wife, and his best friend."
Señorita (2011),"Donna, a transgender sex worker in Manila, moves back to her small hometown in search of a new life. Once there, she reunites with her child, who knows her as his aunt, and becomes caught up in the intrigues surrounding a critical local election, working to unseat the corrupt mayor."
Refrains Happen Like Revolutions in a Song (2010),"Sarah is a debt collector who lives among the inhabitants of the village of Guimbal on the island of Panay. She wants to find the young man who appeared to her in a dream and goes to the island of Negros. Here, as she interacts with the inhabitants, Sarah continues her search, gathering memories of life and war, dreams, myths, legends, songs and stories that she takes part in and at times revolve around her. She is the daughter of an ancient mermaid, a revolutionary, a primordial element, a virgin who was kidnapped and hidden away from the sunlight. “The film is a retelling of fragments of the American occupation. Dialogue, shot in the Hiligaynon language, is not translated but used as a tonal guide and a tool for narration. Using unscripted scenes shot where the main character was asked to merely interact with the villagers, I discard dialogue and draw meaning from peoples’ faces, voices, and actions, weaving an entirely different story through the use of subtitles and inter-titles.”"
Anita's Last Cha-Cha (2013),"A 12-year old Anita falls in love with the new woman in town; years later, a girlhood crush blossoms during the Fiesta of Santa Clara in Obando, Bulacan."
Lukas the Strange (2013),"A small town in the Philippines is turned upside down by the arrival of a film crew that has everyone excited. Meanwhile, 13-year-old Lukas finds his own world overturned when he is told that his father is a tikbalang (half horse, half man). His father’s disappearance leaves Lukas to try to unravel the mystery of his own heritage and his own nature."
Baseco Bakal Boys (2009),"The heart-tugging story of children who scavenge for metal scraps in the murky waters of Manila Bay, often risking their lives in the process."
Awaken (2005),"One night the docile teenager Rey is mauled as he passes by a drinking spree of street toughies: Pogi, Jopet, Kahoy and Taba. Pogi hates Rey for the simple reason that he secretly loves Rey’s girlfriend. Jopet, a self-claimed police asset, finds Rey a convenient substitute for pouring out his hatred for his handler, a sadistic cop. Kahoy and Taba join in for the sake of camaraderie. Rey regains consciousness and finds his tormentors drunk and asleep… The director: “In the Philippines we see all these things and we don’t even recognize it, because we’re used to it. We’re very passive. But we need to wake up!”"
Foster Child (2007),"Thelma, together with her husband Dado and teenage sons Gerald and Yuri, are a poor urban family hired by a local foster care facility to provide temporary home and care to abandoned babies pending the latter's formal adoption."
The Woman Who Left (2016),"For Horacia Somorostro, living has become a veritable reclusion perpetua, an imprisonment. Life’s spins and randomness has been very difficult, vicious and inexplicable for her. The year is 1997. Princess Diana dies in a violent car crash. The world is saddened by the death of Mother Theresa. And the Philippines is gripped with fear. It has become the kidnap capital of Asia."
Ang Pagbabalat ng Ahas (2013),"It is 1989. After losing his home, Allan Borromeo moves back into his mother’s house in Eden Homes, an upper middle class subdivision, with his wife Donna and teenage son Jasper. Here, their lives will change—Allan gets involved in a marijuana grow-op, Donna has an affair with their gardener, and Jasper experiences his first love and heartbreak. But unknown to the homeowners, a half-man, half-snake creature lurks and peers into their lives via home videos secretly recorded by Its creator, Waldo, a mad scientist."
Honor Thy Father (2015),A family is caught in a financial ruin after being involved in a ponzi scheme.
Wailings in the Forest (2016),"An indigenous family, one of the last forest people of old, copes with the unusual changes in their environment including the imposing lifestyle and customs of the more sociable tribes on the plains."
Marciano (2014),"Built around found stories of relatives, acquaintances and even strangers, this documentary paints a compelling portrait of a gay OFW who lives in Paris for 25 years and dies there alone."
Slingshot (2007),"A tribute to the real potential of digital cinema, Slingshot is a slum epic on steroids. It weaves stories left and right into a shocking tableau about life for the lowest of the low in the Philippines poorest and most crime-ridden districts. National elections are coming up so in the usual attempt to appear “tough-on-crime”, The Big Boys have been sent into crack down on the the local squatters, thieves and miscreants who litter the film like broken bottle. And since no sweep is ever a clean sweep, the cops brutal shock-force tactics quickly ripple outwards with jagged repurcussions."
Nick and Chai (2014),"On Nov 2013, Super Typhoon Haiyan claimed the lives of Nick and Chai Quieta's four children, leaving them with nothing but each other and a house torn to pieces. Now, four months later, we step inside the Quieta's home and observe how they cope with their loss. What is reality like to lose all your kids of a sudden?"
Bukas Na Lang Sapagka’t Gabi Na (2013),"Four interconnected stories during the height of the Martial Law crackdown against rebels. The palpable aura of fear leaves Filipinos in a state of paralysis, unable or unwilling to move until the dark cloud of history passes over."
Imbisibol (2015),"Imbisibol essays the lives of four Filipino migrants in Japan – Linda, Benjie, Manuel and Rodel – who are toiling in a foreign land to give their families in the Philippines a better quality of life. The story revolves around the joys and struggles of Linda, a Filipina married to a Japanese salaryman who is torn between helping undocumented Filipinos stay in Japan by renting out rooms to them and succumbing to the demands of her husband to evict the Filipinos and save their marriage; Benjie, an undocumented worker who has been jumping from one odd job to another in the last 17 years and desires to go home already and be with his children; Manuel, an aging male entertainer who is struggling with his insecurities and his addiction to gambling; and Rodel, an idealistic newcomer who encounters a rising tension and rivalry with another Filipino at work."
"Tondo, Beloved: To What Are the Poor Born? (2012)","Virgie's family feeds on the fishes that lurk under the industrial ships of North Harbor. Their alternatives are packs of tasteless gelatin found in the same waters. One morning when the fishes are dead and the sea's color is that of milk, uncertainty is born."
Barber's Tales (2013),"In the 1970s, a widow in a remote village takes over her husband’s barber shop. She becomes the laughing stock of the male-dominated community and in the process discovers freedom and liberation."
Manila in the Claws of Light (1975),"A young fisherman from a provincial village arrives in the capital on a quest to track down his girlfriend, who was lured there with the promise of work and hasn’t been heard from since. In the meantime, he takes a low-wage job at a construction site and witnesses life on the streets, where death strikes without warning, corruption and exploitation are commonplace, and protests hint at escalating civil unrest."
Kisapmata (1981),"A retired police sergeant has an unnatural stranglehold over his wife and daughter. His claustrophobically enclosed world is threatened when his daughter Mila finds herself pregnant and was forced to marry Noel. He attempts to extend his influence over his son-in-law, who resists; there is a confrontation."
Cleaners (2019),Different students from a high school cleaners group each deal with different pressures of being clean and pure while also discovering that the world is dirty and superficial to begin with.
Insiang (1976),"A story about the life of a young girl living with her mother in the slums of Manila, which becomes unbearable when her mother's young boyfriend moves in with them."
Ode to Nothing (2018),"Sonya, an old maid is about to give up on herself until one day, she meets a corpse in her family's embalming business that changes her life."
This Is My Country (1984),A laborer gets money for his wife's pregnancy from his boss on the condition that he will not join the union.
Weighed But Found Wanting (1974),"A privileged teenager, disillusioned with the hypocrisy he witnesses in his small town, forms a bond with a lonely leper and a mentally unstable homeless woman."
Fight for Us (1989),"Set during the post-Marcos regime in a remote village of Dolores, chronicles the life of Jimmy Cordero, a political prisoner who have just been freed from prison after the decline of the Marcos dictatorship. From his revolutionary past, he got himself into human rights activism following his prison release. He and his wife’s brother once conducted a fact-finding mission to Dolores only to find out the terror brought about to its residents by the Orapronobis, a government backed anti-communist paramilitary troop deployed in the town of Dolores."
Batch '81 (1982),"Sid Lucero, a 26-year old pre-Med student is an aspiring neophyte of the Alpha Kappa Omega fraternity. Over a six-month initiation period, he and six other neophytes are subjected to severe physical and psychological torture in and outside the fraternity house."
Manila by Night (1980),"The hidden nightlife of ordinary people living in Manila unveils. Lovers and families conflict with each other as they live on the streets, which are rampant with drugs and prostitution."
Perfumed Nightmare (1977),"Kidlat, a Filipino jeepney driver, is fascinated by the idea of the American space programme and by Western society as a whole. When he moves to Paris, disillusionment sets in as his dreams are gradually shattered."
Turumba (1981),"Kadu, a boy from Pakil, Laguna, experiences the dissolution of tradition as it gives way to capitalism in the form of Madame, a foreigner who initially came to their village as a customer during the Festival of Turumba."
Will Your Heart Beat Faster? (1980),"In a spoof on the contemporary sacred cons, two yuppy couples get entangled with warring smugglers of dope that include fake priests and nuns as well as Japanese and Chinese agents."
Three Godless Years (1976),"A woman fell in love with a Japanese soldier, during the Japanese Occupation in the Philippines. The whole town turned against her."
Brutal (1980),A woman after killing her husband and his friends goes into post-traumatic shock and withdraws from any form of communication. A feminist journalist becomes interested in the case and resolves to unravel the truth behind the murders.
Once a Moth (1976),"Living near the US Clark Air Base, Corazon de la Cruz dreams of a better life in America… until the unspeakable happens."
Of the Flesh (1983),"When Narcing brings home his wife Puring to their hometown Mulawin in the 1930s, it sets off a series of events that include parricide, infidelity, betrayal, guilt and redemption."
On the Job: The Missing 8 (2021),"Inspired by true events, the film chronicles the story of Sisoy Salas, a corrupt journalist seeking justice for his colleagues, and convict Roman Rubio, a hired gun who is regularly brought out of prison to perform assassinations."
Third World Hero (2000),"Two filmmakers try to create a film venturing on the life of Jose Rizal. Before they do that, they try to investigate on the heroism of the Philippine national hero. Of particular focus is his supposed retraction of his views against the Roman Catholic Church during the Spanish regime in the Philippines which he expressed primarily through his two novels Noli Me Tangere and El Filibusterismo. The investigation was done mainly by ""interviewing"" key individuals in the life of Rizal such as his mother Teodora Alonso, his siblings Paciano, Trinidad, and Narcisa, his love interest and supposed wife Josephine Bracken, and the Jesuit priest who supposedly witnessed Rizal's retraction, Fr. Balaguer. Eventually, the two filmmakers would end up ""interviewing"" Rizal himself to get to the bottom of the issue."
Gusto Kita with All My Hypothalamus (2018),"In Avenida, the lives of four men intertwine, searching for something. They all find what they are looking for in one woman named Aileen."
Joyful Mystery (1984),"The fortunes of three impoverished friends and their families abruptly change after an airplane crashes in a nearby mountain. They rush to the crash site along with all the villagers, not to help the victims but to plunder their valuables. A dead American passenger carried a large amount of money in his briefcase which Mesiong, Ponsoy, and Jamin find and avariciously keep for themselves. But the town mayor gets greedy and with his hirelings abducts the three to divest them of their booty."
Ikaw Pa Lang Ang Minahal (1992),"Adela is the sheltered daughter of successful Dr. Maximo Sevilla. She has spent her life crocheting alone in the big house, and disappointed her father for failing to qualify for a career in law or medicine, and for lacking the confidence of her departed mother. Adela vainly struggles to cultivate elegance, until she meets and falls for the charms of striking David Javier."
Inagaw Mo ang Lahat sa Akin (1995),"In a quiet, rural Filipino village, sibling rivalry continues through adulthood for two sisters and finally tears their family apart."
Big Night! (2021),A gay beautician is determined to clear his name after learning he's included in a drug watchlist.
History of Ha (2021),"1957. Hernando Alamada, Filipino vaudeville great and a former socialist cadre, fulfills the last leg of his performing tour on the Mayflower cruise ship. He knows that the Philippines is experiencing a bitter transition yet again; the much-loved and popular president, Ramon Magsaysay, suddenly dies in a plane crash. He arrives in his poverty-stricken barrio, his country’s state and future burdening him heavily, and at the same time, a deep personal turmoil confronts him. He plods on an aimless journey. Akin to the Filipino ‘bodabil’, he finds himself on the gate of the theater of the absurd, a descent to burlesque, madness, to stark realities, and, ultimately, an ascent to his own redemption."
Soltero (1984),"Crispin is a soltero who has undergone several heartbreaks with women, broken family ties, and his own personal conflicts. In his evolution as a man, he shows his weakness, his strengths, his confusion."
Moments in a Stolen Dream (1977),"A coming-of-age story of college student Joey, who's lost all sense of direction. His only inspiration is music, but he is yet to finish writing a song. His life changes when he meets Ana and his world is suddenly turned upside-down."
"Three, Two, One (1974)","""Tatlo, Dalawa, Isa"" is a compilation of three intimate stories directed by Filipino cinema legend Lino Brocka. The films show the perseverance of hope despite a sense of despair. Featuring a drug addict, an abandoned daughter and a repressed catholic."
As We Were (1976),"Set at the turn of the 20th century during the Filipino revolution against the Spaniards and, later, the American colonizers, it follows a naive peasant through his leap of faith to become a member of an imagined community."
Melancholia (2008),A story about victims of summary executions. Three people start a strange therapy to escape their agonies.
The Rites of May (1976),"During a return to his provincial home, a young man gets involved with a woman who is ultimately possessed by her sister's spirit, paving the way to revealing the painful truth about her unsolved disappearance."
Paglisan (2018),"Crisanto and Dolores’ marriage is going through a rough patch. Going through a marital crisis, a couple’s marriage is tested when Crisanto is diagnosed with early-onset Alzheimer’s disease as Dolores sinks deeper into depression. Paglisan tells the story of how a married couple attempt to survive together through fading memories and fleeting identities."
Sister Stella L. (1984),A nun who acts as a counselor in a home for unwed mother undergoes political awakening when her friend and namesake belonging to the same congregation as hers inspires her to get involved in the struggle for justice and freedom of striking workers in a cooking oil company.
At the Top (1971),"A stripper and taxi driver are fished out of poverty and anonymity by a commercial film director. The obsession with success forces them to affect images as movie stars, which suppress and eventually destroy them as persons and lovers."
Mamu (and a Mother Too) (2018),"A transgender sex worker in her late 40s along Fields Avenue whose only aspiration is to have breast implants for her profession unexpectedly assumes the role of a mother to her orphaned niece, a transgender youth who is only beginning to discover her own sexuality. As she works more shifts to save for her implants, troubles arise when she begins to feel the weight of her struggles – being an aging sex worker in fast-evolving society, a partner to her young fiancé, and a parent to a teenager she just met. Her difficult confrontations eventually lead her to a new attitude towards life, and a unique recipe to a famous Kapampangan dish, Sisig."
Hinugot sa Langit (1985),"A woman is thinking of abortion, against her firm faith and family's wants."
Bulaklak sa City Jail (1984),A pregnant woman arrested for frustrated murder is sent to the Manila City Jail where she meets several women with shocking pasts.
"My Father, My Mother (1978)","Coring, a gay beautician, is left with a baby by his former ward, Dennis. The baby grows up thinking that Coring is his real father. Everything seems to be smooth until the kid's mother suddenly shows up to claim her son."
When the Waves Are Gone (2022),"Lieutenant Hermes Papauran, one of the best investigators of the Philippines, is at a deep moral crossroad. As a member of the police forces, he is a first-hand witness of the murderous anti-drug campaign that his institution is implementing with dedication. The atrocities are corroding Hermes physically and spiritually, causing him a severe skin disease resulting from anxiety and guilt. As he tries to heal, a dark past haunts him and has eventually come back for a reckoning."
Kay Tagal Kang Hinintay (1998),Ana and Alex fall in love in nostalgic Ilocos. But their individual dreams and responsibilities get in the way of their relationship.
Century of Birthing (2011),An artist struggles to finish his work. A storyline about a cult plays in his head. Fundamentalism will destroy the world. The artist destroys his muse in the process. He redeems her in the end.
Cain & Abel (1982),"In this modern-day version of the biblical legend on Cain and Abel, strong-willed matriarch Señora Pina favors her younger son Ellis over the older Loren whom she blames for the death of her husband. Ellis grows up cowardly and spoiled while Loren becomes a responsible family man despite his increasing resentment towards his mother. What began as a sibling rivalry develops into a deep feud that would later escalate into a large-scale war - with all the mayhem and bloodshed."
Dipped in Gold (1970),"Lino Brocka's adaptation of Mars Ravelo's ""komiks"" melodrama about a successful businessman who is terrified of being exposed as a homosexual."
Sila-Sila (2019),"A 30-year old man who returns home to Manila is forced to confront his old life, his old friends, and his ex-boyfriend at their high school reunion where the drama of the past and the present collide."
Breakaway (2012),It’s all about emotion in this small but powerful drama about a father’s search for his missing son in the perilous backstreets of the Philippines
Season of the Devil (2018),"In the late 70s, a gang of militias, under the control of the military, terrorizes a remote village in the Philippines. The terror being inflicted on the populace is not just corporal but intensely psychological as well. They were constantly fed with apocryphal tales about the village leader. A few souls are not giving up. They are fighting. The poet/teacher/activist, Hugo Haniway, decides to find out the truth about the disappearance of his wife. A love story set in the darkest period of Philippine history, the Marcos Dictatorship. The narrative and the characters are a composite of real events and real people that happened and existed during the period. A Filipino rock opera."
Tisoy! (1977),Tisoy is a bohemian balikbayan searching for his father. He gets help from his friends as they scour the immaculately clean Metro Manila as well as reunite with his high school sweetheart.
Jaguar (1979),"Poldo, a lowly security in a publishing firm, dreams to be rich. He becomes the personal bodyguard to his employer's son, Sonny, when he impresses the latter with his courage and skills during a quarrel where Poldo defended Sonny. Poldo gets a taste of his boss' carefree and extravagant lifestyle and thinks that he accepts him as a friend. In one of the nightclubs they frequent, Sonny is smitten by dancer Cristy and aggressively pursues her despite a warning from San Pedro, the movie director with whom Cristy has an affair. When they chance upon each other, Sonny and San Pedro fight. Poldo comes to his boss' rescue and guns down San Pedro. In subsequent circumstances, Poldo would soon arrive at a bitter realization. As he could not see in Sonny the benefactor that he pictured him to be, Poldo finds himself alone, abandoned and betrayed."
Got 2 Believe (2002),"Lawrence, a cynical wedding photographer falls for Toni, a wedding planner who believes in a happily ever after."
José Rizal (1998),"Accused of treason, Dr. Jose P. Rizal awaits trial and meets with his colonial government-appointed counsel, Luis Taviel de Andrade. The two build the case and arguments for the defense as significant events in the central figure's life prior to his incarceration unfold. Upon hearing Rizal's life story, Taviel begins to realize that the accused not just is innocent but exhibits in fact all the qualities of an extraordinary man. When the mock trial unreels, Taviel is all set to act as the prime advocate for his client as Rizal himself is about to give an earth-moving speech to defend his honor and address his countrymen. Meanwhile, the Spanish authorities have worked out the vast political machinery to ensure a guilty verdict. A revolution waits in the wings."
Manang Biring (2015),"Manang Biring is a feisty but terminally-ill old lady who has learned to accept her imminent demise. Until one day, she receives a letter from her long-estranged daughter abroad announcing of her return for the holidays."
Macho Dancer (1988),"Pol moves to Manila for better opportunities after his American lover leaves. However, he gets drawn into the gritty world of gay prostitution and sexual slavery."
The Halt (2019),"It is the year 2034 AD and Southeast Asia has been in the dark for the last three years, literally, because the sun hasn’t shone as a result of massive volcanic eruptions at the Celebes Sea in 2031. Madmen control countries, communities, enclaves and bubble cities. Cataclysmic epidemics razed over the continent. Millions have died and millions have left."
Sewer (2008),An examination of poverty and violence and the influence it has on two boys who live in a slum.
Scorpio Nights (1985),"In a crowded, multi-appartment house, a young student peeps on his neighbours making love and subsequently develops a steamy affair with the neighbour's wife. The affair slowly becomes an obsession and spins out of control."
Ang Lalaki sa Buhay ni Selya (1997),"Selya is disappointed with Bobby who only wants sex but no real relationship nor marriage. So she leaves and decides to marry the gay Ramon who, she is convinced, is definitely different."
Ikaw ay Akin (1978),"Horticulturist Teresita and Rex, a skydiving enthusiast and passenger jeep manufacturer, have been together for five years. Rex then meets the vivacious but fidgety Sandra, who is obviously smitten with him. Rex is then unsettled by his conflicting feelings for the two."
Please • Care (2017),"An 80-year old woman decides that she will be an old maid. But when the woman tries to leave her husband for sixty years, their children forbid their parents to separate."
Broken Marriage (1983),"Trapped in a world of hectic schedules, pressure, and little time for each other, married couple Ellen and Rene decide to have a temporary separation."
Daughters of Eve (1985),"In the remote countryside of Ilongo, various women are sexually abused by local men. Two sisters meet Simon, the most attractive man in the village, and fight over him - one constantly haunted by Catholic dogma because of the abuse she suffered previously."
Oro (2016),"The film is about the lives of simple folk caught between the crossfire of Kapitana accused of political patronage, and Patrol Kalikasan using the environment as a front for their own political and economic interests on the small mining community."
Salvage (2015),"A news team investigating rumors of aswang killings in a remote barrio are attacked by a group of soldiers, forcing them to run for their lives in the deeps of the forest, where more mystery and danger lay in wait."
